label,time_s,distance_m,overshoot_m,mean_speed_ms,max_speed_ms,efficiency,precision_m
mpc,98.756765054,17.842748776993187,2.4554701219944217,0.18067368617468188,0.32499998807907104,0.8623827442349826,0.3188479685181071
nav2,72.592607908,18.58591324094986,3.1886467164599512,0.2560303834862174,0.2720000147819519,0.8284374474839101,0.2964304808680765
serest,80.86665704,19.7268600832205,4.304320439739174,0.2439430638694855,0.3100000023841858,0.7818040772033258,0.29995078885774096
